# Wavelength	Flux_normalized	Order
3790.98000000 1.56401970 5
3791.01000000 1.19510776 5
3791.04000000 0.98267309 5
3791.07000000 1.14650552 5
3791.10000000 1.04293280 5
3791.13000000 1.00174067 5
3791.16000000 1.03904918 5
3791.19000000 1.09051496 5
3791.22000000 1.03507052 5
3791.25000000 0.74361891 5
3791.28000000 0.75692061 5
3791.31000000 0.88355285 5
3791.34000000 0.95307705 5
3791.37000000 1.76925799 5
3791.40000000 1.58112355 5
3791.43000000 1.59648007 5
3791.46000000 1.79546065 5
3791.49000000 1.35515635 5
3791.52000000 1.14382763 5
3791.55000000 1.07592066 5
3791.58000000 0.95056221 5
3791.61000000 0.86285801 5
3791.64000000 1.35829883 5
3791.67000000 1.08728497 5
3791.70000000 0.77367834 5
3791.73000000 0.68505735 5
3791.76000000 0.79745938 5
3791.79000000 0.65209926 5
3791.82000000 0.48399550 5
3791.85000000 0.36834376 5
3791.88000000 0.41547398 5
3791.91000000 0.66476249 5
3791.94000000 0.34699573 5
3791.97000000 0.02445673 5
3792.00000000 0.16346178 5
3792.03000000 0.54132771 5
3792.06000000 0.00602802 5
3792.09000000 0.27169163 5
3792.12000000 0.53705934 5
3792.15000000 0.73914385 5
3792.18000000 0.94632963 5
3792.21000000 0.87865649 5
3792.24000000 0.82998430 5
3792.27000000 0.68226209 5
3792.30000000 0.50176851 5
3792.33000000 0.47713251 5
3792.36000000 0.68961643 5
3792.39000000 0.92452143 5
3792.42000000 1.21217402 5
3792.45000000 1.39355298 5
3792.48000000 1.06534949 5
3792.51000000 1.61014429 5
3792.54000000 1.59774535 5
3792.57000000 1.44912436 5
3792.60000000 1.61766231 5
3792.63000000 1.03298179 5
3792.66000000 1.14471887 5
3792.69000000 1.11695244 5
3792.72000000 0.84870307 5
3792.75000000 0.66906446 5
3792.78000000 0.44206109 5
3792.81000000 0.34550493 5
3792.84000000 0.43145676 5
3792.87000000 0.57642535 5
3792.90000000 0.51246658 5
3792.93000000 0.92597560 5
3792.96000000 0.91461471 5
3792.99000000 0.71367651 5
3793.02000000 0.65148209 5
3793.05000000 0.57880842 5
3793.08000000 0.52063572 5
3793.11000000 0.47894550 5
3793.14000000 0.52162071 5
3793.17000000 0.64410905 5
3793.20000000 0.31794464 5
3793.23000000 -0.04068580 5
3793.26000000 0.15056276 5
3793.29000000 0.58226286 5
3793.32000000 0.21965619 5
3793.35000000 0.06343651 5
3793.38000000 -0.08938571 5
3793.41000000 -0.10204430 5
3793.44000000 0.02034310 5
3793.47000000 -0.07527108 5
3793.50000000 -0.08837731 5
3793.53000000 0.04235069 5
3793.56000000 0.23471354 5
3793.59000000 0.35166713 5
3793.62000000 0.27179606 5
3793.65000000 0.37909108 5
3793.68000000 0.46010759 5
3793.71000000 0.46408840 5
3793.74000000 0.47335961 5
3793.77000000 0.41011182 5
3793.80000000 0.71745843 5
3793.83000000 0.95747714 5
3793.86000000 0.88240772 5
3793.89000000 0.69278702 5
3793.92000000 0.83908619 5
3793.95000000 0.55500037 5
3793.98000000 0.45892435 5
3794.01000000 0.95871099 5
3794.04000000 0.88175289 5
3794.07000000 1.02003948 5
3794.10000000 1.13167124 5
3794.13000000 1.14966164 5
3794.16000000 1.09316593 5
3794.19000000 0.84097692 5
3794.22000000 0.90916379 5
3794.25000000 1.19214826 5
3794.28000000 1.28013713 5
3794.31000000 0.67714849 5
3794.34000000 0.69901462 5
3794.37000000 0.86968562 5
3794.40000000 0.89324285 5
3794.43000000 0.77449039 5
3794.46000000 0.98472255 5
3794.49000000 0.85232819 5
3794.52000000 0.82866115 5
3794.55000000 1.04605732 5
3794.58000000 1.34399024 5
3794.61000000 0.98625590 5
3794.64000000 1.30204814 5
3794.67000000 1.63382466 5
3794.70000000 1.71172848 5
3794.73000000 1.58905353 5
3794.76000000 1.36937020 5
3794.79000000 0.95792969 5
3794.82000000 0.92898849 5
3794.85000000 1.15224187 5
3794.88000000 0.73907831 5
3794.91000000 0.83291512 5
3794.94000000 1.04773633 5
3794.97000000 1.21926250 5
3795.00000000 1.30079924 5
3795.03000000 1.40161371 5
3795.06000000 1.21096102 5
3795.09000000 0.95538635 5
3795.12000000 0.83477255 5
3795.15000000 0.90531679 5
3795.18000000 0.75212779 5
3795.21000000 1.07662158 5
3795.24000000 0.91752791 5
3795.27000000 0.47302282 5
3795.30000000 0.61100744 5
3795.33000000 0.68123238 5
3795.36000000 0.80224072 5
3795.39000000 0.96271578 5
3795.42000000 1.10678092 5
3795.45000000 1.14265568 5
3795.48000000 1.00041197 5
3795.51000000 0.94868359 5
3795.54000000 0.86790252 5
3795.57000000 0.72149712 5
3795.60000000 0.81231607 5
3795.63000000 1.02985131 5
3795.66000000 0.97987206 5
3795.69000000 0.96093160 5
3795.72000000 1.32278546 5
3795.75000000 1.59300588 5
3795.78000000 1.84390292 5
3795.81000000 1.80060045 5
3795.84000000 1.46007060 5
3795.87000000 1.03657735 5
3795.90000000 0.85247814 5
3795.93000000 0.61317102 5
3795.96000000 0.50749838 5
3795.99000000 0.52505425 5
3796.02000000 0.43133139 5
3796.05000000 0.75256426 5
3796.08000000 1.07115438 5
3796.11000000 1.05205483 5
3796.14000000 0.72074503 5
3796.17000000 0.68765598 5
3796.20000000 0.80276323 5
3796.23000000 0.96303244 5
3796.26000000 0.90674349 5
3796.29000000 0.60235620 5
3796.32000000 0.85788356 5
3796.35000000 0.54042905 5
3796.38000000 0.46271022 5
3796.41000000 0.62831055 5
3796.44000000 0.65283700 5
3796.47000000 0.82836269 5
3796.50000000 0.80472752 5
3796.53000000 0.59295651 5
3796.56000000 0.39524090 5
3796.59000000 0.48605343 5
3796.62000000 0.43720135 5
3796.65000000 0.34816185 5
3796.68000000 0.28730466 5
3796.71000000 0.26221963 5
3796.74000000 0.20233229 5
3796.77000000 0.31333070 5
3796.80000000 0.09887498 5
3796.83000000 0.01980551 5
3796.86000000 0.30594928 5
3796.89000000 0.07779338 5
3796.92000000 0.02235250 5
3796.95000000 0.14102775 5
3796.98000000 0.14840314 5
3797.01000000 -0.12029033 5
3797.04000000 0.07332423 5
3797.07000000 0.28356330 5
3797.10000000 0.43117902 5
3797.13000000 0.47936424 5
3797.16000000 0.45608366 5
3797.19000000 0.65626210 5
3797.22000000 0.64802481 5
3797.25000000 0.57191381 5
3797.28000000 0.50074458 5
3797.31000000 0.40128531 5
3797.34000000 0.59385513 5
3797.37000000 0.72998374 5
3797.40000000 0.66731007 5
3797.43000000 0.55302495 5
3797.46000000 0.87365153 5
3797.49000000 0.73263622 5
3797.52000000 0.91847154 5
3797.55000000 1.01308514 5
3797.58000000 0.71265161 5
3797.61000000 0.81521682 5
3797.64000000 0.61473700 5
3797.67000000 0.49128980 5
3797.70000000 0.43845503 5
3797.73000000 0.35347719 5
3797.76000000 0.47129145 5
3797.79000000 0.29732409 5
3797.82000000 0.20203837 5
3797.85000000 0.27155781 5
3797.88000000 0.34582314 5
3797.91000000 0.11893538 5
3797.94000000 0.09787198 5
3797.97000000 0.13071356 5
3798.00000000 0.13815794 5
3798.03000000 0.16827492 5
3798.06000000 0.16449390 5
3798.09000000 0.41057199 5
3798.12000000 0.54255933 5
3798.15000000 0.42586060 5
3798.18000000 0.38976338 5
3798.21000000 0.46848381 5
3798.24000000 0.53569186 5
3798.27000000 0.59224855 5
3798.30000000 0.60050509 5
3798.33000000 0.38329343 5
3798.36000000 0.40351338 5
3798.39000000 0.56679370 5
3798.42000000 0.74355391 5
3798.45000000 0.85311413 5
3798.48000000 1.01424143 5
3798.51000000 0.91208535 5
3798.54000000 0.89624957 5
3798.57000000 1.04383716 5
3798.60000000 1.23869348 5
3798.63000000 1.24572306 5
3798.66000000 1.40711559 5
3798.69000000 1.43829837 5
3798.72000000 1.32028394 5
3798.75000000 1.25611261 5
3798.78000000 1.31257528 5
3798.81000000 1.50936359 5
3798.84000000 1.70742850 5
3798.87000000 1.81839393 5
3798.90000000 1.84141686 5
3798.93000000 1.89190868 5
3798.96000000 1.66209173 5
3798.99000000 1.42482127 5
3799.02000000 1.29334363 5
3799.05000000 1.02317450 5
3799.08000000 1.28888011 5
3799.11000000 1.56968344 5
3799.14000000 1.72302488 5
3799.17000000 1.77562699 5
3799.20000000 1.88675314 5
3799.23000000 2.10317374 5
3799.26000000 1.98682311 5
3799.29000000 1.71808631 5
3799.32000000 1.65471746 5
3799.35000000 1.98062033 5
3799.38000000 2.09208207 5
3799.41000000 1.99925657 5
3799.44000000 1.64946421 5
3799.47000000 1.08234452 5
3799.50000000 0.79586066 5
3799.53000000 0.83894420 5
3799.56000000 0.92035437 5
3799.59000000 0.96920491 5
3799.62000000 1.08342950 5
3799.65000000 1.36451578 5
3799.68000000 1.48587853 5
3799.71000000 1.31844793 5
3799.74000000 1.04797730 5
3799.77000000 1.04779299 5
3799.80000000 1.05257528 5
3799.83000000 1.07766223 5
3799.86000000 1.11076447 5
3799.89000000 1.11555016 5
3799.92000000 1.03998928 5
3799.95000000 0.96408875 5
3799.98000000 0.80425934 5
3800.01000000 0.80140501 5
3800.04000000 0.97513182 5
3800.07000000 0.93161898 5
3800.10000000 0.59858036 5
3800.13000000 0.54160392 5
3800.16000000 0.74371537 5
3800.19000000 0.95571589 5
3800.22000000 0.82396186 5
3800.25000000 0.55828326 5
3800.28000000 0.53110165 5
3800.31000000 0.64548216 5
3800.34000000 0.68307495 5
3800.37000000 0.57461646 5
3800.40000000 0.65420185 5
3800.43000000 0.67564115 5
3800.46000000 0.95344410 5
3800.49000000 1.67076180 5
3800.52000000 1.71626543 5
3800.55000000 1.35158029 5
3800.58000000 1.21247655 5
3800.61000000 1.29901747 5
3800.64000000 1.28996491 5
3800.67000000 1.22155609 5
3800.70000000 1.09703924 5
3800.73000000 1.09635372 5
3800.76000000 1.44064354 5
3800.79000000 2.21618130 5
3800.82000000 2.65824648 5
3800.85000000 3.01039729 5
3800.88000000 2.54442114 5
3800.91000000 1.68334570 5
3800.94000000 1.70493527 5
3800.97000000 1.74687498 5
3801.00000000 1.99975243 5
3801.03000000 2.33724671 5
3801.06000000 2.57289059 5
3801.09000000 2.51878082 5
3801.12000000 2.14774999 5
3801.15000000 1.86145922 5
3801.18000000 1.66596821 5
3801.21000000 1.46912817 5
3801.24000000 1.17799998 5
3801.27000000 1.27052346 5
3801.30000000 1.19425088 5
3801.33000000 1.07589957 5
3801.36000000 1.01048841 5
3801.39000000 0.80530914 5
3801.42000000 0.76922969 5
3801.45000000 0.78181864 5
3801.48000000 0.83152576 5
3801.51000000 0.91344131 5
3801.54000000 0.98288522 5
3801.57000000 1.21208763 5
3801.60000000 1.13427937 5
3801.63000000 0.99629486 5
3801.66000000 1.12147493 5
3801.69000000 1.40983919 5
3801.72000000 1.67933002 5
3801.75000000 2.18554478 5
3801.78000000 2.55647694 5
3801.81000000 2.36349861 5
3801.84000000 1.75535616 5
3801.87000000 1.14791964 5
3801.90000000 0.77742864 5
3801.93000000 0.71763748 5
3801.96000000 0.92048673 5
3801.99000000 1.22710264 5
3802.02000000 1.83917226 5
3802.05000000 2.10563029 5
3802.08000000 2.20295063 5
3802.11000000 2.53916463 5
3802.14000000 2.41147672 5
3802.17000000 2.17736145 5
3802.20000000 1.83274307 5
3802.23000000 1.50739387 5
3802.26000000 1.32422069 5
3802.29000000 0.88138362 5
3802.32000000 0.79400791 5
3802.35000000 0.76626307 5
3802.38000000 0.77501456 5
3802.41000000 0.95046896 5
3802.44000000 0.78033473 5
3802.47000000 0.77855220 5
3802.50000000 0.95297545 5
3802.53000000 1.10472183 5
